sys_id,name,short_description,business_unit,u_criticality,u_user_count,u_hosting_type,u_lifecycle_status,u_annual_license_cost,u_infrastructure_cost,u_support_labor_cost,u_annual_total_cost,u_technical_debt_score,u_stability_score,u_duplicate_functionality,u_replacement_candidate_exists,vendor,version,install_status,operational_status,used_for,portfolio_status
APP001,ERP Core,SAP ECC enterprise resource planning system — core financial and accounting platform,Finance,High,1200,On-Premise,Aging,480000,220000,180000,880000,78,42,true,true,SAP,ECC 6.0 EHP8,1,1,Used in Production,Identified for Replacement
APP002,HR Hub,Workday HCM — human resources information system for talent and workforce management,Human Resources,Medium,850,Cloud SaaS,Current,210000,0,65000,275000,22,88,false,false,Workday,2024.1,1,1,Used in Production,Retain
APP003,SalesOps Tracker,Custom Python application for sales pipeline tracking and opportunity management,Sales,Medium,320,On-Premise,Current,0,48000,95000,143000,61,65,true,true,Internal,3.2.1,1,1,Used in Production,Modernize
APP004,LegacyDB,SQL Server 2008 legacy financial reporting database — end of support and life,Finance,Low,45,On-Premise,End of Life,0,32000,110000,142000,95,18,true,true,Microsoft,SQL Server 2008 R2,1,1,Used in Production,Retire
APP005,CustomerPortal,Customer-facing self-service web portal for account management and service requests,Customer Success,High,15000,Cloud Hosted,Current,95000,72000,88000,255000,35,81,false,false,Internal,5.1.0,1,1,Used in Production,Retain
APP006,DataWarehouse,Enterprise data warehouse for cross-functional analytics and executive reporting,Analytics,High,280,On-Premise,Aging,0,185000,155000,340000,67,55,false,false,Internal,Teradata 16,1,1,Used in Production,Modernize
APP007,ProcureTrack,Legacy procurement and purchase order management system on Oracle Forms,Finance,Medium,190,On-Premise,End of Life,62000,55000,130000,247000,91,25,true,true,Oracle,Forms 12c,1,1,Used in Production,Retire
APP008,MarketingHub,Salesforce Marketing Cloud — digital marketing automation and campaign management,Marketing,Medium,145,Cloud SaaS,Current,185000,0,42000,227000,18,92,false,false,Salesforce,Marketing Cloud Spring 24,1,1,Used in Production,Retain
APP009,ITSMPlatform,ServiceNow ITSM — IT service management ticketing and CMDB platform,IT,High,550,Cloud SaaS,Current,320000,0,95000,415000,12,96,false,false,ServiceNow,Xanadu,1,1,Used in Production,Retain
APP010,ComplianceTracker,Custom .NET application for regulatory compliance tracking and audit management,Legal & Compliance,High,88,On-Premise,Aging,0,41000,125000,166000,73,48,false,false,Internal,.NET 4.7,1,1,Used in Production,Modernize
APP011,FieldServiceMgr,Homegrown field technician scheduling and work order management application,Operations,Medium,210,On-Premise,End of Life,0,38000,145000,183000,88,30,true,true,Internal,Java EE 6,1,1,Used in Production,Retire
APP012,BIReportingSuite,MicroStrategy enterprise BI and reporting platform for operational dashboards,Analytics,Medium,320,On-Premise,Aging,145000,88000,72000,305000,55,60,true,false,MicroStrategy,2021 Update 4,1,1,Used in Production,Evaluate
APP013,IdentityVault,CyberArk privileged access management and identity governance platform,IT Security,High,650,On-Premise,Current,285000,95000,55000,435000,28,84,false,false,CyberArk,13.0,1,1,Used in Production,Retain
APP014,ContractMgr,Ironclad contract lifecycle management — legal contract creation and tracking,Legal & Compliance,Low,72,Cloud SaaS,Current,58000,0,22000,80000,15,91,false,false,Ironclad,2024,1,1,Used in Production,Retain
APP015,LegacyPayroll,On-premise ADP payroll processing system — superseded by HR Hub integration,Human Resources,Low,12,On-Premise,End of Life,38000,28000,95000,161000,89,22,true,true,ADP,PC Payroll 9,1,1,Used in Production,Retire
