app_id,annual_license_cost,annual_infrastructure_cost,annual_support_labor_cost,annual_change_cost,annual_total_cost,currency,cost_baseline_date
APP001,250000,115000,68000,42000,475000,USD,2026-03-31
APP002,190000,0,55000,18000,263000,USD,2026-03-31
APP003,85000,35000,42000,12000,174000,USD,2026-03-31
APP004,110000,12000,38000,9000,169000,USD,2026-03-31
APP005,70000,24000,47000,15000,156000,USD,2026-03-31
APP006,160000,42000,61000,21000,284000,USD,2026-03-31
APP007,320000,0,125000,30000,475000,USD,2026-03-31
APP008,210000,40000,72000,26000,348000,USD,2026-03-31
APP009,28000,18000,14000,7000,67000,USD,2026-03-31
APP010,145000,0,36000,15000,196000,USD,2026-03-31
APP011,175000,52000,58000,24000,309000,USD,2026-03-31
APP012,230000,30000,64000,19000,343000,USD,2026-03-31
